0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904554233,Terreno En Venta En Ocean Park,38000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904554233-terreno-en-venta-en-ocean-park-_JM,Uruguay,Maldonado,SANTA BARBARA al 100,,AR,Argentina,-34.87188,-55.11631,748 m²,748.0,m²
MLA904555185,Terreno En Venta En El Chorro,58000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904555185-terreno-en-venta-en-el-chorro-_JM,Uruguay,Maldonado,DE LAS BROTOLAS al 100,Otras Ciudades,AR,Argentina,-34.899532,-54.81138,501 m²,501.0,m²
MLA904555160,Terreno En Venta En Balneario Buenos Aires,48000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904555160-terreno-en-venta-en-balneario-buenos-aires-_JM,Uruguay,Maldonado,calle 37 al 100,Punta del Este,AR,Argentina,-34.88691,-54.785336,450 m²,450.0,m²
MLA904551416,Countries Y Barrios Cerrados Venta Canning,45000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904551416-countries-y-barrios-cerrados-venta-canning-_JM,Bs.As. G.B.A. Sur,Ezeiza,Ruta 58 al 100,Canning,AR,Argentina,-34.956764,-58.464905,856 m²,856.0,m²
MLA904551329,Countries Y Barrios Cerrados Venta Berazategui,55000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904551329-countries-y-barrios-cerrados-venta-berazategui-_JM,Bs.As. G.B.A. Sur,Berazategui,Au. Buenos Aires - La Plata Km 32.5 al 100,Berazategui,AR,Argentina,-34.761314,-58.180294,600 m²,600.0,m²
MLA904551312,Countries Y Barrios Cerrados Venta Berazategui,85000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904551312-countries-y-barrios-cerrados-venta-berazategui-_JM,Bs.As. G.B.A. Sur,Berazategui,Au. Buenos Aires - La Plata Km 32.5 al 100,Berazategui,AR,Argentina,-34.761314,-58.180294,1117 m²,1117.0,m²
MLA904550467,Countries Y Barrios Cerrados Venta Berazategui,75000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904550467-countries-y-barrios-cerrados-venta-berazategui-_JM,Bs.As. G.B.A. Sur,Berazategui,Au. Buenos Aires - La Plata Km 32.5 al 100,Berazategui,AR,Argentina,-34.761314,-58.180294,840 m²,840.0,m²
MLA904550447,Countries Y Barrios Cerrados Venta Berazategui,65000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904550447-countries-y-barrios-cerrados-venta-berazategui-_JM,Bs.As. G.B.A. Sur,Berazategui,Au. Buenos Aires - La Plata Km 32.5 al 100,Berazategui,AR,Argentina,-34.761314,-58.180294,700 m²,700.0,m²
MLA904549224,Countries Y Barrios Cerrados Venta Carmelo,85000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904549224-countries-y-barrios-cerrados-venta-carmelo-_JM,Uruguay,Colonia,El Faro al 100,Carmelo,AR,Argentina,-33.95915,-58.346474,3424 m²,3424.0,m²
MLA904550321,Countries Y Barrios Cerrados Venta Colonia,23000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904550321-countries-y-barrios-cerrados-venta-colonia-_JM,Uruguay,Colonia,El Ensueño - Balneario Santa Ana al 100,Colonia,AR,Argentina,-34.42054,-57.601402,420 m²,420.0,m²
MLA904542986,Terrenos En Venta,30000,USD,2021-02-09T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904542986-terrenos-en-venta-_JM,Entre Ríos,Gualeguaychú,Camino A Ñandubaysal  100,Pueblo General Belgrano,AR,Argentina,-33.026527,-58.459534,800 m²,800.0,m²
MLA904544095,Lote En Las Sierras Flor Serrana,8270,USD,2021-02-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904544095-lote-en-las-sierras-flor-serrana-_JM,Córdoba,Punilla,halcon 150,Villa Flor Serrana,AR,Argentina,-31.389862,-64.59293,827 m²,827.0,m²
MLA904527476,Lotes En Venta. Club De Campo  La Castilla· . San Rafael,40000,USD,2021-02-25T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904527476-lotes-en-venta-club-de-campo-la-castilla-san-rafael-_JM,Mendoza,San Rafael,El Toledano  0,San Rafael,AR,Argentina,-34.610516,-68.38652,800 m²,800.0,m²
MLA904513910,Fincas Del Nogal,56000,USD,2021-04-09T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904513910-fincas-del-nogal-_JM,Neuquén,Neuquén,Rio Colorado Sur  100,,AR,Argentina,-38.965084,-68.15704,1086 m²,1086.0,m²
