0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904407918,"Se Vende Terreno 600 M2, La Bastilla, Mza.",48000,USD,2021-01-30T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904407918-se-vende-terreno-600-m2-la-bastilla-mza-_JM,Mendoza,Las Heras,Bº la Bastilla Manzana 4 Casa 6 100,Las Heras,AR,Argentina,-32.85401,-68.87673,600 m²,600.0,m²
MLA904446394,"Lote En Venta En Barrio Monet, Cardales",32500,USD,2021-01-23T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904446394-lote-en-venta-en-barrio-monet-cardales-_JM,Buenos Aires Interior,Campana,"Lote en Venta en Barrio Monet, Cardales",,AR,Argentina,-34.301376,-58.93127,1028 m²,1028.0,m²
MLA904469245,Venta Terreno Desing Village Solanas Punta Ballena ,95000,USD,2021-04-03T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904469245-venta-terreno-desing-village-solanas-punta-ballena-_JM,Uruguay,Maldonado,,,AR,Argentina,-34.873318,-55.041576,1028 m²,1028.0,m²
MLA904469221,Terreno En Venta En El Nacional,28000,USD,2021-04-06T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904469221-terreno-en-venta-en-el-nacional-_JM,Buenos Aires Interior,General Rodríguez,Corrientes al 100,El Nacional,AR,Argentina,-34.648064,-58.966774,1274 m²,1274.0,m²
MLA904469097,Terreno En Venta En Altos Del Chorro,115000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904469097-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.89243,-54.80974,1068 m²,1068.0,m²
MLA904470149,Terreno En Venta En Altos Del Chorro,127000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904470149-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892365,-54.809414,1175 m²,1175.0,m²
MLA904466091,Countries Y Barrios Cerrados Venta Colonia,18000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904466091-countries-y-barrios-cerrados-venta-colonia-_JM,Uruguay,Colonia,El Ensueño - Balneario Santa Ana al 100,Colonia,AR,Argentina,-34.420227,-57.605495,420 m²,420.0,m²
MLA904354408,Venta Terreno 300 M2 Av. San Juan 2100 -  Neuquén,87000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904354408-venta-terreno-300-m2-av-san-juan-2100-neuquen-_JM,Neuquén,Neuquén,Av. San Juan 2100,Otros Barrios,AR,Argentina,-38.952217,-68.029305,300 m²,300.0,m²
MLA904347011,Terreno - Salida A Dos Calles - A Metros De Camino De Cintura - 1440m2,560000,USD,2021-06-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904347011-terreno-salida-a-dos-calles-a-metros-de-camino-de-cintura-1440m2-_JM,Bs.As. G.B.A. Sur,Esteban Echeverría,(dbj-115) Grecia al 7500 -  Predio Unico - Excelente Ubicacion - Zona Industrial,,AR,Argentina,-34.743034,-58.492805,2260 m²,2260.0,m²
MLA904416113,Grupo Inversor / Bariloche / 17.000 M2 De Construcción.,4025000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904416113-grupo-inversor-bariloche-17000-m2-de-construccion-_JM,Río Negro,Bariloche,Exequiel Bustillo 15500,San Carlos de Bariloche,AR,Argentina,-41.08448,-71.46218,115000 m²,115000.0,m²
